userName;score;at;content;;
Emah Suhaemah;5;16/10/2024 03.47;Ok;;
Eka Novita fitri;1;16/10/2024 03.44;kenapasih gak bisa buat akun !!! huuu Instagram sekarang makin jelek👎👎👎;;
Shafa Nadia;4;16/10/2024 03.44;Lumayan;;
Mashudi Munandar 9913;3;16/10/2024 03.38;Bisa gak sih, fitur kirim post ke temen itu nama akun jangan deket deket, dan pfp nya jangan bulet bulet, sering kepencet akun orang lain pas mau kirim pake 1 tangan, akhirnya kekirim ke orang lain juga;;
Khusni Yatin;5;16/10/2024 03.35;Kenapa sudah 5hari ini tidak bisa buat story vidio gak bisa buat postingan/release?;;
Candra Suga;5;16/10/2024 03.34;Bagus;;
Sri Wati;5;16/10/2024 03.33;Asik yaa;;
sayang Oki;5;16/10/2024 03.31;Cika;;
S R M;5;16/10/2024 03.24;Semoga segera dapat monetisasi dari Instagram.. Suka main Instagram apalagi fiture di Instagram makin banyak yang bagus dan free..;;
Master boy;5;16/10/2024 03.22;Aplikasi nya bagus dan cerah ayu download aplikasi nya;;
Ade Setiawan;5;16/10/2024 03.18;Mantap jiwa;;
Rio Putra;5;16/10/2024 03.14;Bagus;;
Dimas Saputra;1;16/10/2024 03.10;Gabisa di buka cok,ngelag ig nya padahal gua ada paket data napa ga bisa di buka mala loding Mulu lah Cok kesel gua;;
Rafa Gagah;1;16/10/2024 03.03;padahal kouta gw lancar tapi di apk nya malah ngelag aneh;;
Exhe;5;16/10/2024 03.02;Nice;;
Nurman Syah;1;16/10/2024 02.55;Sudah 3 hari jaringan di instagram lag parah padahal buat streaming di youtube atau tiktok sinyal lancar saja;;
Andhi Ka;4;16/10/2024 02.54;Ig ku kenapa gk bisa masuk;;
Balda Ch Pelafu;5;16/10/2024 02.53;keren;;
Muziyanti YAnti;5;16/10/2024 02.49;Aplikasi bgus;;
didik_ cahyo;1;16/10/2024 02.47;Muter muter terus gak jelas lelet;;
ANNISS MASDIN;5;16/10/2024 02.44;Bagus;;
Agung Priana;4;16/10/2024 02.43;Mntab;;
